metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
kafka.server.replica_manager.under_min_isr_partition_count,gauge,,,,Number of partitions whose in-sync replicas count is less than minIsr,,,
kafka.server.replica_manager.under_replicated_partitions,gauge,,,,Number of under-replicated partitions (| ISR | < | all replicas |). Alert if value is greater than 0,,,
kafka.cluster.partition.under_min_isr,gauge,,,,Number of partitions whose in-sync replicas count is less than minIsr. These partitions will be unavailable to producers who use acks=all,,,
kafka.controller.kafka_controller.offline_partitions_count,gauge,,,,Number of partitions that donâ€™t have an active leader and are hence not writable or readable. Alert if value is greater than 0,,,
kafka.controller.kafka_controller.active_controller_count,gauge,,,,Number of active controllers in the cluster. Alert if the aggregated sum across all brokers in the cluster is anything other than 1 because there should be exactly one controller per cluster,,,
kafka.server.replica_manager.partition_count,gauge,,,,Number of partitions on this broker. This should be mostly even across all brokers,,,
kafka.server.replica_manager.leader_count,gauge,,,,"Number of leaders on this broker. This should be mostly even across all brokers. If not, set auto.leader.rebalance.enable to true on all brokers in the cluster",,,
kafka.server.replica_fetcher_manager.max_lag,gauge,,,,Maximum lag in messages between the follower and leader replicas. This is controlled by the replica.lag.max.messages config,,,
kafka.network.socket_server.network_processor_avg_idle_percent,gauge,,,,Average fraction of time the network processor threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available),,,
kafka.network.request_channel.request_queue_size,gauge,,,,Size of the request queue. A congested request queue will not be able to process incoming or outgoing requests,,,
kafka.server.fetcher_lag_metrics.consumer_lag,gauge,,,,Lag in number of messages per follower replica. This is useful to know if the replica is slow or has stopped replicating from the leader,,,
kafka.server.delayed_operation_purgatory.purgatory_size,gauge,,,,Number of requests waiting in the producer purgatory. This should be non-zero when acks=all is used on the producer,,,
kafka.server.delayed_operation_purgatory.purgatory_size,gauge,,,,Number of requests waiting in the fetch purgatory. This is high if consumers use a large value for fetch.wait.max.ms ,,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.count,count,,,,Aggregate incoming byte rate (count),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.fifteen_minute_rate,gauge,,,,Aggregate incoming byte rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.five_minute_rate,gauge,,,,Aggregate incoming byte rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.one_minute_rate,gauge,,,,Aggregate incoming byte rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.mean_rate,gauge,,,,Aggregate incoming byte rate (mean_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.count,count,,,,Aggregate outgoing byte rate (count),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.fifteen_minute_rate,gauge,,,,Aggregate outgoing byte rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.five_minute_rate,gauge,,,,Aggregate outgoing byte rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.one_minute_rate,gauge,,,,Aggregate outgoing byte rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.mean_rate,gauge,,,,Aggregate outgoing byte rate (mean_rate),,,
kafka.network.request_metrics.requests_per_sec.count,count,,,,Request rate (count),,,
kafka.network.request_metrics.requests_per_sec.fifteen_minute_rate,gauge,,,,Request rate (fifteen_minute_rate),,,
kafka.network.request_metrics.requests_per_sec.five_minute_rate,gauge,,,,Request rate (five_minute_rate),,,
kafka.network.request_metrics.requests_per_sec.one_minute_rate,gauge,,,,Request rate (one_minute_rate),,,
kafka.network.request_metrics.requests_per_sec.mean_rate,gauge,,,,Request rate (mean_rate),,,
kafka.server.broker_topic_metrics.total_produce_requests_per_sec.count,count,,,,Produce request rate (count),,,
kafka.server.broker_topic_metrics.total_produce_requests_per_sec.fifteen_minute_rate,gauge,,,,Produce request rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.total_produce_requests_per_sec.five_minute_rate,gauge,,,,Produce request rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.total_produce_requests_per_sec.one_minute_rate,gauge,,,,Produce request rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.total_produce_requests_per_sec.mean_rate,gauge,,,,Produce request rate (mean_rate),,,
kafka.server.broker_topic_metrics.total_fetch_requests_per_sec.count,count,,,,Fetch request rate (count),,,
kafka.server.broker_topic_metrics.total_fetch_requests_per_sec.fifteen_minute_rate,gauge,,,,Fetch request rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.total_fetch_requests_per_sec.five_minute_rate,gauge,,,,Fetch request rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.total_fetch_requests_per_sec.one_minute_rate,gauge,,,,Fetch request rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.total_fetch_requests_per_sec.mean_rate,gauge,,,,Fetch request rate (mean_rate),,,
kafka.server.broker_topic_metrics.failed_produce_requests_per_sec.count,count,,,,Produce request rate for requests that failed (count),,,
kafka.server.broker_topic_metrics.failed_produce_requests_per_sec.fifteen_minute_rate,gauge,,,,Produce request rate for requests that failed (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.failed_produce_requests_per_sec.five_minute_rate,gauge,,,,Produce request rate for requests that failed (five_minute_rate),,,
kafka.server.broker_topic_metrics.failed_produce_requests_per_sec.one_minute_rate,gauge,,,,Produce request rate for requests that failed (one_minute_rate),,,
kafka.server.broker_topic_metrics.failed_produce_requests_per_sec.mean_rate,gauge,,,,Produce request rate for requests that failed (mean_rate),,,
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.count,count,,,,Fetch request rate for requests that failed (count),,,
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.fifteen_minute_rate,gauge,,,,Fetch request rate for requests that failed (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.five_minute_rate,gauge,,,,Fetch request rate for requests that failed (five_minute_rate),,,
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.one_minute_rate,gauge,,,,Fetch request rate for requests that failed (one_minute_rate),,,
kafka.server.broker_topic_metrics.failed_fetch_requests_per_sec.mean_rate,gauge,,,,Fetch request rate for requests that failed (mean_rate),,,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.count,count,,,,Unclean leader election rate (count),,,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.fifteen_minute_rate,gauge,,,,Unclean leader election rate (fifteen_minute_rate),,,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.five_minute_rate,gauge,,,,Unclean leader election rate (five_minute_rate),,,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.one_minute_rate,gauge,,,,Unclean leader election rate (one_minute_rate),,,
kafka.controller.controller_stats.unclean_leader_elections_per_sec.mean_rate,gauge,,,,Unclean leader election rate (mean_rate),,,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.count,count,,,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (count),,,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.fifteen_minute_rate,gauge,,,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (fifteen_minute_rate),,,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.five_minute_rate,gauge,,,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (five_minute_rate),,,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.one_minute_rate,gauge,,,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (one_minute_rate),,,
kafka.server.kafka_request_handler_pool.request_handler_avg_idle_percent.mean_rate,gauge,,,,Average fraction of time the request handler threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available) (mean_rate),,,
kafka.server.broker_topic_metrics.messages_in_per_sec.count,count,,,,Aggregate incoming message rate (count),,,
kafka.server.broker_topic_metrics.messages_in_per_sec.fifteen_minute_rate,gauge,,,,Aggregate incoming message rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.messages_in_per_sec.five_minute_rate,gauge,,,,Aggregate incoming message rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.messages_in_per_sec.one_minute_rate,gauge,,,,Aggregate incoming message rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.messages_in_per_sec.mean_rate,gauge,,,,Aggregate incoming message rate (mean_rate),,,
kafka.server.replica_manager.isr_shrinks_per_sec.count,count,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (count)",,,
kafka.server.replica_manager.isr_shrinks_per_sec.fifteen_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (fifteen_minute_rate)",,,
kafka.server.replica_manager.isr_shrinks_per_sec.five_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (five_minute_rate)",,,
kafka.server.replica_manager.isr_shrinks_per_sec.one_minute_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (one_minute_rate)",,,
kafka.server.replica_manager.isr_shrinks_per_sec.mean_rate,gauge,,,,"If a broker goes down, ISR for some of the partitions will shrink. When that broker is up again, ISR will be expanded once the replicas are fully caught up. Other than that, the expected value for both ISR shrink rate and expansion rate is 0 (mean_rate)",,,
kafka.server.replica_manager.isr_expands_per_sec.count,count,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (count)",,,
kafka.server.replica_manager.isr_expands_per_sec.fifteen_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (fifteen_minute_rate)",,,
kafka.server.replica_manager.isr_expands_per_sec.five_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (five_minute_rate)",,,
kafka.server.replica_manager.isr_expands_per_sec.one_minute_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (one_minute_rate)",,,
kafka.server.replica_manager.isr_expands_per_sec.mean_rate,gauge,,,,"When a broker is brought up after a failure, it starts catching up by reading from the leader. Once it is caught up, it gets added back to the ISR (mean_rate)",,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.50percentile,gauge,,,,Leader election rate and latency (50percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.75percentile,gauge,,,,Leader election rate and latency (75percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.95percentile,gauge,,,,Leader election rate and latency (95percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.98percentile,gauge,,,,Leader election rate and latency (98percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.99percentile,gauge,,,,Leader election rate and latency (99percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.999percentile,gauge,,,,Leader election rate and latency (999percentile),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.count,count,,,,Leader election rate and latency (count),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.fifteen_minute_rate,gauge,,,,Leader election rate and latency (fifteen_minute_rate),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.five_minute_rate,gauge,,,,Leader election rate and latency (five_minute_rate),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.one_minute_rate,gauge,,,,Leader election rate and latency (one_minute_rate),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.max,gauge,,,,Leader election rate and latency (max),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.mean,gauge,,,,Leader election rate and latency (mean),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.mean_rate,gauge,,,,Leader election rate and latency (mean_rate),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.min,gauge,,,,Leader election rate and latency (min),,,
kafka.controller.controller_stats.leader_election_rate_and_time_ms.std_dev,gauge,,,,Leader election rate and latency (std_dev),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.50percentile,gauge,,,,Log flush rate and time (50percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.75percentile,gauge,,,,Log flush rate and time (75percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.95percentile,gauge,,,,Log flush rate and time (95percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.98percentile,gauge,,,,Log flush rate and time (98percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.99percentile,gauge,,,,Log flush rate and time (99percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.999percentile,gauge,,,,Log flush rate and time (999percentile),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.count,count,,,,Log flush rate and time (count),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.fifteen_minute_rate,gauge,,,,Log flush rate and time (fifteen_minute_rate),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.five_minute_rate,gauge,,,,Log flush rate and time (five_minute_rate),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.one_minute_rate,gauge,,,,Log flush rate and time (one_minute_rate),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.max,gauge,,,,Log flush rate and time (max),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.mean,gauge,,,,Log flush rate and time (mean),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.mean_rate,gauge,,,,Log flush rate and time (mean_rate),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.min,gauge,,,,Log flush rate and time (min),,,
kafka.log.log_flush_stats.log_flush_rate_and_time_ms.std_dev,gauge,,,,Log flush rate and time (std_dev),,,
